ym:s:bounce	ym:s:browser	ym:s:clientID	ym:s:date	ym:s:dateTime	ym:s:dateTimeUTC	ym:s:deviceCategory	ym:s:endURL	ym:s:from	ym:s:goalsDateTime	ym:s:goalsID	ym:s:goalsSerialNumber	ym:s:isNewUser	ym:s:lastAdvEngine	ym:s:lastReferalSource	ym:s:lastSearchEngine	ym:s:lastSearchEngineRoot	ym:s:lastSocialNetwork	ym:s:lastSocialNetworkProfile	ym:s:lastTrafficSource	ym:s:mobilePhone	ym:s:operatingSystem	ym:s:operatingSystemRoot	ym:s:pageViews	ym:s:referer	ym:s:regionCity	ym:s:regionCityID	ym:s:regionCountry	ym:s:regionCountryID	ym:s:startURL	ym:s:visitDuration	ym:s:visitID	ym:s:watchIDs
1	yandexsearch	168236882927256752	2023-04-24	2023-04-24 23:40:27	2023-04-24 23:40:27	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru					ad	samsung	android_12	android	1	https://yandex.ru/games/play/201539?app-id=201539&is-united-page=1&is-app-page=1	Korolev	20728	Russia	225	https://zeonpbx.ru/call-center	0	2148539431996883220	[2148539431996883220]
0	chromemobile	1686884300399657621	2023-06-16	2023-06-16 05:58:20	2023-06-16 05:58:20	2	https://zeonpbx.ru/gos		[]	[]	[]	1	ya_direct	kakoy--smysl-ru.turbopages.org					ad	samsung	android_11	android	5	https://kakoy--smysl-ru.turbopages.org/	Miass	11212	Russia	225	https://zeonpbx.ru/call-center	378	3332243633401495767	[3332243633401495767,3332266697670262802,3332290335885230458,3332311042607022098,3332342728287584471,3332249574611091671]
0	chromemobile	1684606379828087466	2023-05-21	2023-05-21 21:40:30	2023-05-21 21:40:30	2	https://zeonpbx.ru/call-center		[]	[]	[]	0	ya_direct						ad	samsung	android_12	android	1			0	Russia	225	https://zeonpbx.ru/call-center	16	2758182309177066131	[2758182309177066131,2758186597936267981]
1	chrome	1687438892393191585	2023-06-22	2023-06-22 16:01:34	2023-06-22 16:01:34	1	https://zeonpbx.ru/?etext=2202.6MQj3naGVQW1h1VdqEF-ZlNt2dKH-XKs3KeHF33b-ndha210bXJzdnNhZ25scXl1.39686dcde450188a0747a8e941cc270a99d61843		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad		windows_7_2008server	windows	1	https://yandex.ru/	Kotlas	10846	Russia	225	https://zeonpbx.ru/?etext=2202.6MQj3naGVQW1h1VdqEF-ZlNt2dKH-XKs3KeHF33b-ndha210bXJzdnNhZ25scXl1.39686dcde450188a0747a8e941cc270a99d61843	0	3477626999063445775	[3477626999063445775]
1	miui	1681810169897070193	2023-04-30	2023-04-30 14:55:35	2023-04-30 14:55:35	2	https://zeonpbx.ru/		[]	[]	[]	0	ya_direct						ad	xiaomi	android_11	android	1			0	Russia	225	https://zeonpbx.ru/	0	2276179339382882484	[2276179339382882484]
